function_id,function_name,n,code_line,hits,time
9,study1,2,2,3,64
9,study1,2,3,3,107
9,study1,2,4,1,7
9,study1,3,2,4,39
9,study1,3,3,6,69
9,study1,3,4,3,18
9,study1,4,2,5,38
9,study1,4,3,10,88
9,study1,4,4,6,31
9,study1,5,2,6,44
9,study1,5,3,15,117
9,study1,5,4,10,56
9,study1,6,2,7,51
9,study1,6,3,21,176
9,study1,6,4,15,130
9,study1,7,2,8,54
9,study1,7,3,28,218
9,study1,7,4,21,232
9,study1,8,2,9,23
9,study1,8,3,36,107
9,study1,8,4,28,92
9,study1,9,2,10,24
9,study1,9,3,45,127
9,study1,9,4,36,105
9,study1,10,2,11,26
9,study1,10,3,55,185
9,study1,10,4,45,124
9,study1,11,2,12,30
9,study1,11,3,66,212
9,study1,11,4,55,118
9,study1,12,2,13,31
9,study1,12,3,78,218
9,study1,12,4,66,141
9,study1,13,2,14,33
9,study1,13,3,91,248
9,study1,13,4,78,166
9,study1,14,2,15,37
9,study1,14,3,105,312
9,study1,14,4,91,219
9,study1,15,2,16,37
9,study1,15,3,120,356
9,study1,15,4,105,252
9,study1,16,2,17,135
9,study1,16,3,136,371
9,study1,16,4,120,286
9,study1,17,2,18,40
9,study1,17,3,153,468
9,study1,17,4,136,343
9,study1,18,2,19,40
9,study1,18,3,171,466
9,study1,18,4,153,348
9,study1,19,2,20,44
9,study1,19,3,190,596
9,study1,19,4,171,412
9,study1,20,2,21,49
9,study1,20,3,210,579
9,study1,20,4,190,486
9,study1,21,2,22,49
9,study1,21,3,231,630
9,study1,21,4,210,496
9,study1,22,2,23,78
9,study1,22,3,253,710
9,study1,22,4,231,509
9,study1,23,2,24,83
9,study1,23,3,276,771
9,study1,23,4,253,554
9,study1,24,2,25,85
9,study1,24,3,300,862
9,study1,24,4,276,600
9,study1,25,2,26,83
9,study1,25,3,325,894
9,study1,25,4,300,640
9,study1,26,2,27,56
9,study1,26,3,351,931
9,study1,26,4,325,738
9,study1,27,2,28,86
9,study1,27,3,378,1053
9,study1,27,4,351,795
9,study1,28,2,29,62
9,study1,28,3,406,1105
9,study1,28,4,378,872
9,study1,29,2,30,64
9,study1,29,3,435,1142
9,study1,29,4,406,891
9,study1,30,2,31,91
9,study1,30,3,465,1235
9,study1,30,4,435,933
9,study1,31,2,32,69
9,study1,31,3,496,1354
9,study1,31,4,465,1043
9,study1,32,2,33,94
9,study1,32,3,528,1402
9,study1,32,4,496,1093
9,study1,33,2,34,67
9,study1,33,3,561,1493
9,study1,33,4,528,1186
9,study1,34,2,35,74
9,study1,34,3,595,1638
9,study1,34,4,561,1992
9,study1,35,2,36,72
9,study1,35,3,630,1805
9,study1,35,4,595,1338
9,study1,36,2,37,85
9,study1,36,3,666,2135
9,study1,36,4,630,1691
9,study1,37,2,38,77
9,study1,37,3,703,1912
9,study1,37,4,666,1483
9,study1,38,2,39,107
9,study1,38,3,741,1962
9,study1,38,4,703,1535
9,study1,39,2,40,80
9,study1,39,3,780,2066
9,study1,39,4,741,1664
9,study1,40,2,41,80
9,study1,40,3,820,2248
9,study1,40,4,780,1715
9,study1,41,2,42,87
9,study1,41,3,861,2262
9,study1,41,4,820,1819
9,study1,42,2,43,87
9,study1,42,3,903,2414
9,study1,42,4,861,1901
9,study1,43,2,44,126
9,study1,43,3,946,2886
9,study1,43,4,903,2664
9,study1,44,2,45,109
9,study1,44,3,990,2836
9,study1,44,4,946,2360
9,study1,45,2,46,94
9,study1,45,3,1035,2902
9,study1,45,4,990,2417
9,study1,46,2,47,101
9,study1,46,3,1081,3136
9,study1,46,4,1035,4046
9,study1,47,2,48,146
9,study1,47,3,1128,3141
9,study1,47,4,1081,2567
9,study1,48,2,49,108
9,study1,48,3,1176,3368
9,study1,48,4,1128,2858
9,study1,49,2,50,169
9,study1,49,3,1225,4693
9,study1,49,4,1176,3940
9,study1,50,2,51,176
9,study1,50,3,1275,5596
9,study1,50,4,1225,4535
9,study1,51,2,52,116
9,study1,51,3,1326,4105
9,study1,51,4,1275,3211
9,study1,52,2,53,115
9,study1,52,3,1378,3983
9,study1,52,4,1326,4175
9,study1,53,2,54,144
9,study1,53,3,1431,3865
9,study1,53,4,1378,3133
9,study1,54,2,55,112
9,study1,54,3,1485,3921
9,study1,54,4,1431,3215
9,study1,55,2,56,168
9,study1,55,3,1540,4034
9,study1,55,4,1485,3251
9,study1,56,2,57,115
9,study1,56,3,1596,4169
9,study1,56,4,1540,3412
9,study1,57,2,58,173
9,study1,57,3,1653,4409
9,study1,57,4,1596,3593
9,study1,58,2,59,122
9,study1,58,3,1711,4590
9,study1,58,4,1653,3859
9,study1,59,2,60,177
9,study1,59,3,1770,7080
9,study1,59,4,1711,5590
9,study1,60,2,61,157
9,study1,60,3,1830,5218
9,study1,60,4,1770,4624
9,study1,61,2,62,157
9,study1,61,3,1891,5038
9,study1,61,4,1830,4256
9,study1,62,2,63,131
9,study1,62,3,1953,5227
9,study1,62,4,1891,4330
9,study1,63,2,64,129
9,study1,63,3,2016,5403
9,study1,63,4,1953,5171
9,study1,64,2,65,171
9,study1,64,3,2080,6138
9,study1,64,4,2016,4854
9,study1,65,2,66,223
9,study1,65,3,2145,5740
9,study1,65,4,2080,4751
9,study1,66,2,67,176
9,study1,66,3,2211,6270
9,study1,66,4,2145,5166
9,study1,67,2,68,196
9,study1,67,3,2278,7571
9,study1,67,4,2211,6088
9,study1,68,2,69,1589
9,study1,68,3,2346,6344
9,study1,68,4,2278,5206
9,study1,69,2,70,139
9,study1,69,3,2415,6103
9,study1,69,4,2346,5215
9,study1,70,2,71,170
9,study1,70,3,2485,6530
9,study1,70,4,2415,5359
9,study1,71,2,72,142
9,study1,71,3,2556,6625
9,study1,71,4,2485,5607
9,study1,72,2,73,155
9,study1,72,3,2628,7490
9,study1,72,4,2556,6062
9,study1,73,2,74,182
9,study1,73,3,2701,7425
9,study1,73,4,2628,6253
9,study1,74,2,75,156
9,study1,74,3,2775,7409
9,study1,74,4,2701,6418
9,study1,75,2,76,172
9,study1,75,3,2850,7508
9,study1,75,4,2775,6199
9,study1,76,2,77,224
9,study1,76,3,2926,7948
9,study1,76,4,2850,6689
9,study1,77,2,78,218
9,study1,77,3,3003,8097
9,study1,77,4,2926,6599
9,study1,78,2,79,186
9,study1,78,3,3081,8345
9,study1,78,4,3003,7045
9,study1,79,2,80,200
9,study1,79,3,3160,9105
9,study1,79,4,3081,7705
9,study1,80,2,81,203
9,study1,80,3,3240,8810
9,study1,80,4,3160,7452
9,study1,81,2,82,232
9,study1,81,3,3321,9114
9,study1,81,4,3240,7668
9,study1,82,2,83,208
9,study1,82,3,3403,10512
9,study1,82,4,3321,8086
9,study1,83,2,84,179
9,study1,83,3,3486,10128
9,study1,83,4,3403,8543
9,study1,84,2,85,216
9,study1,84,3,3570,10324
9,study1,84,4,3486,8473
9,study1,85,2,86,212
9,study1,85,3,3655,10176
9,study1,85,4,3570,9260
9,study1,86,2,87,183
9,study1,86,3,3741,10502
9,study1,86,4,3655,8683
9,study1,87,2,88,225
9,study1,87,3,3828,10498
9,study1,87,4,3741,8965
9,study1,88,2,89,196
9,study1,88,3,3916,11101
9,study1,88,4,3828,10237
9,study1,89,2,90,191
9,study1,89,3,4005,11087
9,study1,89,4,3916,9368
9,study1,90,2,91,199
9,study1,90,3,4095,11764
9,study1,90,4,4005,10729
9,study1,91,2,92,197
9,study1,91,3,4186,11699
9,study1,91,4,4095,9962
9,study1,92,2,93,199
9,study1,92,3,4278,12105
9,study1,92,4,4186,10168
9,study1,93,2,94,202
9,study1,93,3,4371,12132
9,study1,93,4,4278,10254
9,study1,94,2,95,230
9,study1,94,3,4465,12337
9,study1,94,4,4371,10395
9,study1,95,2,96,238
9,study1,95,3,4560,12650
9,study1,95,4,4465,10887
9,study1,96,2,97,206
9,study1,96,3,4656,12970
9,study1,96,4,4560,11012
9,study1,97,2,98,209
9,study1,97,3,4753,13428
9,study1,97,4,4656,11373
9,study1,98,2,99,208
9,study1,98,3,4851,13475
9,study1,98,4,4753,11361
9,study1,99,2,100,220
9,study1,99,3,4950,13905
9,study1,99,4,4851,11806
9,study1,100,2,101,247
9,study1,100,3,5050,13960
9,study1,100,4,4950,11627
9,study1,101,2,102,267
9,study1,101,3,5151,14197
9,study1,101,4,5050,12702
9,study1,102,2,103,216
9,study1,102,3,5253,14782
9,study1,102,4,5151,12334
9,study1,103,2,104,277
9,study1,103,3,5356,15236
9,study1,103,4,5253,12361
9,study1,104,2,105,274
9,study1,104,3,5460,14706
9,study1,104,4,5356,12494
9,study1,105,2,106,220
9,study1,105,3,5565,15952
9,study1,105,4,5460,12910
9,study1,106,2,107,225
9,study1,106,3,5671,15572
9,study1,106,4,5565,13247
9,study1,107,2,108,273
9,study1,107,3,5778,16066
9,study1,107,4,5671,14326
9,study1,108,2,109,295
9,study1,108,3,5886,17430
9,study1,108,4,5778,13994
9,study1,109,2,110,266
9,study1,109,3,5995,16795
9,study1,109,4,5886,14197
9,study1,110,2,111,300
9,study1,110,3,6105,18032
9,study1,110,4,5995,14285
9,study1,111,2,112,265
9,study1,111,3,6216,17047
9,study1,111,4,6105,14619
9,study1,112,2,113,240
9,study1,112,3,6328,18342
9,study1,112,4,6216,15254
9,study1,113,2,114,276
9,study1,113,3,6441,17969
9,study1,113,4,6328,15488
9,study1,114,2,115,306
9,study1,114,3,6555,18070
9,study1,114,4,6441,15561
9,study1,115,2,116,274
9,study1,115,3,6670,19366
9,study1,115,4,6555,15706
9,study1,116,2,117,308
9,study1,116,3,6786,18803
9,study1,116,4,6670,15894
9,study1,117,2,118,276
9,study1,117,3,6903,18987
9,study1,117,4,6786,16093
9,study1,118,2,119,271
9,study1,118,3,7021,19294
9,study1,118,4,6903,16432
9,study1,119,2,120,248
9,study1,119,3,7140,20303
9,study1,119,4,7021,16808
9,study1,120,2,121,281
9,study1,120,3,7260,19935
9,study1,120,4,7140,17000
9,study1,121,2,122,289
9,study1,121,3,7381,20369
9,study1,121,4,7260,17449
9,study1,122,2,123,295
9,study1,122,3,7503,20958
9,study1,122,4,7381,17933
9,study1,123,2,124,288
9,study1,123,3,7626,20617
9,study1,123,4,7503,17714
9,study1,124,2,125,296
9,study1,124,3,7750,21569
9,study1,124,4,7626,18274
9,study1,125,2,126,293
9,study1,125,3,7875,21675
9,study1,125,4,7750,18538
9,study1,126,2,127,292
9,study1,126,3,8001,21999
9,study1,126,4,7875,18861
9,study1,127,2,128,269
9,study1,127,3,8128,23617
9,study1,127,4,8001,19262
9,study1,128,2,129,294
9,study1,128,3,8256,22556
9,study1,128,4,8128,19482
9,study1,129,2,130,274
9,study1,129,3,8385,22877
9,study1,129,4,8256,19534
9,study1,130,2,131,312
9,study1,130,3,8515,24528
9,study1,130,4,8385,20207
9,study1,131,2,132,329
9,study1,131,3,8646,23691
9,study1,131,4,8515,20743
9,study1,132,2,133,341
9,study1,132,3,8778,26398
9,study1,132,4,8646,21529
9,study1,133,2,134,307
9,study1,133,3,8911,24291
9,study1,133,4,8778,21145
9,study1,134,2,135,317
9,study1,134,3,9045,25129
9,study1,134,4,8911,21960
9,study1,135,2,136,347
9,study1,135,3,9180,25073
9,study1,135,4,9045,21362
9,study1,136,2,137,330
9,study1,136,3,9316,26279
9,study1,136,4,9180,21877
9,study1,137,2,138,322
9,study1,137,3,9453,26314
9,study1,137,4,9316,23366
9,study1,138,2,139,352
9,study1,138,3,9591,26163
9,study1,138,4,9453,22553
9,study1,139,2,140,322
9,study1,139,3,9730,26978
9,study1,139,4,9591,23261
9,study1,140,2,141,382
9,study1,140,3,9870,27630
9,study1,140,4,9730,23045
9,study1,141,2,142,328
9,study1,141,3,10011,28288
9,study1,141,4,9870,23592
9,study1,142,2,143,331
9,study1,142,3,10153,27733
9,study1,142,4,10011,24067
9,study1,143,2,144,371
9,study1,143,3,10296,28768
9,study1,143,4,10153,24339
9,study1,144,2,145,338
9,study1,144,3,10440,28989
9,study1,144,4,10296,25066
9,study1,145,2,146,339
9,study1,145,3,10585,29428
9,study1,145,4,10440,25574
9,study1,146,2,147,310
9,study1,146,3,10731,29718
9,study1,146,4,10585,25592
9,study1,147,2,148,363
9,study1,147,3,10878,29935
9,study1,147,4,10731,25930
9,study1,148,2,149,398
9,study1,148,3,11026,30293
9,study1,148,4,10878,26666
9,study1,149,2,150,344
9,study1,149,3,11175,30666
9,study1,149,4,11026,26961
9,study1,150,2,151,345
9,study1,150,3,11325,32263
9,study1,150,4,11175,26717
9,study1,151,2,152,362
9,study1,151,3,11476,31971
9,study1,151,4,11325,27743
9,study1,152,2,153,377
9,study1,152,3,11628,31955
9,study1,152,4,11476,27354
9,study1,153,2,154,361
9,study1,153,3,11781,32600
9,study1,153,4,11628,27847
9,study1,154,2,155,355
9,study1,154,3,11935,33543
9,study1,154,4,11781,28250
9,study1,155,2,156,325
